nohup: ignoring input
extract basic app positions...
extract basic APP categories...
extract app install ratio features...
extract app install number features...
extract creative install num features...
extract user install app number features...
extract creative install ratio features...
extract connectionType position install ratio features...
extract position install ratio features...
extract user_position install ratio features...
extract the num of the user has clicked features from 24000000 to 25000000...
extract user install ratio features...
extract camgaign install ratio features...
extract ad install ratio features...
extract app active hours features...
extract positionID app install ratio features...
extract positionID creative install ratio features...
all samples:   2610941*45
[0]	train-logloss:0.607194	eval-logloss:0.60725
Multiple eval metrics have been passed: 'eval-logloss' will be used for early stopping.

Will train until eval-logloss hasn't improved in 10 rounds.
[1]	train-logloss:0.536854	eval-logloss:0.53696
[2]	train-logloss:0.478337	eval-logloss:0.478491
[3]	train-logloss:0.429041	eval-logloss:0.429233
[4]	train-logloss:0.387124	eval-logloss:0.387352
[5]	train-logloss:0.351206	eval-logloss:0.351467
[6]	train-logloss:0.320242	eval-logloss:0.320532
[7]	train-logloss:0.293417	eval-logloss:0.293732
[8]	train-logloss:0.27009	eval-logloss:0.270427
[9]	train-logloss:0.249738	eval-logloss:0.250096
[10]	train-logloss:0.23194	eval-logloss:0.232318
[11]	train-logloss:0.216335	eval-logloss:0.216728
[12]	train-logloss:0.202636	eval-logloss:0.203042
[13]	train-logloss:0.190587	eval-logloss:0.191006
[14]	train-logloss:0.179977	eval-logloss:0.180409
[15]	train-logloss:0.170638	eval-logloss:0.171082
[16]	train-logloss:0.162392	eval-logloss:0.162851
[17]	train-logloss:0.155118	eval-logloss:0.155585
[18]	train-logloss:0.148705	eval-logloss:0.149181
[19]	train-logloss:0.143047	eval-logloss:0.143529
[20]	train-logloss:0.13805	eval-logloss:0.13854
[21]	train-logloss:0.133627	eval-logloss:0.134122
[22]	train-logloss:0.129718	eval-logloss:0.13022
[23]	train-logloss:0.126273	eval-logloss:0.126778
[24]	train-logloss:0.123235	eval-logloss:0.123746
[25]	train-logloss:0.120575	eval-logloss:0.121093
[26]	train-logloss:0.118203	eval-logloss:0.118729
[27]	train-logloss:0.116097	eval-logloss:0.116632
[28]	train-logloss:0.11424	eval-logloss:0.114784
[29]	train-logloss:0.112617	eval-logloss:0.113165
[30]	train-logloss:0.111172	eval-logloss:0.111727
[31]	train-logloss:0.109905	eval-logloss:0.110464
[32]	train-logloss:0.108779	eval-logloss:0.109338
[33]	train-logloss:0.107793	eval-logloss:0.10835
[34]	train-logloss:0.106916	eval-logloss:0.107477
[35]	train-logloss:0.106136	eval-logloss:0.106696
[36]	train-logloss:0.105435	eval-logloss:0.105995
[37]	train-logloss:0.104819	eval-logloss:0.105376
[38]	train-logloss:0.104276	eval-logloss:0.104836
[39]	train-logloss:0.103783	eval-logloss:0.104344
[40]	train-logloss:0.103362	eval-logloss:0.10393
[41]	train-logloss:0.102988	eval-logloss:0.10356
[42]	train-logloss:0.102644	eval-logloss:0.103216
[43]	train-logloss:0.102342	eval-logloss:0.102914
[44]	train-logloss:0.102066	eval-logloss:0.102642
[45]	train-logloss:0.101834	eval-logloss:0.102411
[46]	train-logloss:0.101611	eval-logloss:0.102191
[47]	train-logloss:0.101403	eval-logloss:0.101985
[48]	train-logloss:0.101214	eval-logloss:0.101799
[49]	train-logloss:0.101049	eval-logloss:0.101637
[50]	train-logloss:0.100915	eval-logloss:0.101505
